joint1_target_rad_s,joint2_angle_rad,net_displacement_m,steady_speed_mps,mean_speed_mps
0.2,0.3,0.7397611141204834,0.07397611439228058,0.07609935104846954
0.2,0.45,0.6957094073295593,0.06957094371318817,0.0738333910703659
0.2,0.45,0.6901249885559082,0.06901250034570694,0.07319575548171997
0.2,0.45,0.6912173628807068,0.06912173330783844,0.07333922386169434
0.2,0.45,0.6820266246795654,0.0682026594877243,0.072251096367836
0.2,0.5236,0.6268501281738281,0.06268501281738281,0.07465160638093948
0.2,0.5236,0.6258188486099243,0.06258188188076019,0.07473872601985931
0.2,0.5236,0.624907910823822,0.0624907910823822,0.07516966015100479
0.2,0.5236,0.6404852271080017,0.06404852122068405,0.07540050894021988
0.28,0.0,1.1124491691589355,0.11124491691589355,0.11124517768621445
0.28,0.0,1.1120928525924683,0.11120928823947906,0.11120946705341339
0.28,0.0,1.1123344898223877,0.11123345047235489,0.1112334355711937
0.28,0.0,1.1113156080245972,0.11113156378269196,0.11113189160823822
0.28,0.3,1.028171420097351,0.10281714051961899,0.10647924244403839
0.28,0.3,1.0303822755813599,0.1030382290482521,0.10672452300786972
0.28,0.3,1.030375599861145,0.10303755849599838,0.10671528428792953
0.28,0.3,1.0283483266830444,0.10283483564853668,0.10649804025888443
0.28,0.45,0.9308844804763794,0.09308844804763794,0.10060737282037735
0.28,0.45,0.9309265613555908,0.0930926576256752,0.10063215345144272
0.28,0.45,0.9308803081512451,0.09308803081512451,0.10060882568359375
0.28,0.45,0.930888831615448,0.09308888018131256,0.10061778873205185
0.28,0.5236,0.8667824864387512,0.08667825162410736,0.10026947408914566
0.28,0.5236,0.8679524660110474,0.08679524809122086,0.10063552856445312
0.28,0.5236,0.8786596059799194,0.08786596357822418,0.10175533592700958
0.28,0.5236,0.8783761262893677,0.08783761411905289,0.10174326598644257
0.4,0.0,1.5888550281524658,0.15888550877571106,0.15888552367687225
0.4,0.0,1.5887151956558228,0.15887151658535004,0.15887174010276794
0.4,0.0,1.5888218879699707,0.15888218581676483,0.1588822901248932
0.4,0.0,1.588617205619812,0.15886172652244568,0.15886178612709045
0.4,0.3,1.4454013109207153,0.14454013109207153,0.15214870870113373
0.4,0.3,1.4447219371795654,0.14447219669818878,0.15212102234363556
0.4,0.3,1.4467886686325073,0.14467886090278625,0.15227945148944855
0.4,0.3,1.4448297023773193,0.14448297023773193,0.1521126925945282
0.4,0.45,1.2875185012817383,0.12875184416770935,0.1438513845205307
0.4,0.45,1.283349633216858,0.12833496928215027,0.1436508744955063
0.4,0.45,1.2919586896896362,0.12919586896896362,0.1441567838191986
0.4,0.45,1.2915595769882202,0.1291559636592865,0.1441490650177002
0.4,0.5236,1.20066237449646,0.12006624042987823,0.14097341895103455
0.4,0.5236,1.1957147121429443,0.11957146972417831,0.1405719816684723
0.4,0.5236,1.1998463869094849,0.11998464167118073,0.1409558653831482
0.4,0.5236,1.2016332149505615,0.12016332149505615,0.14107200503349304
0.55,0.0,2.1840734481811523,0.21840734779834747,0.21840734779834747
0.55,0.0,2.184312582015991,0.2184312641620636,0.21843159198760986
0.55,0.0,2.183302402496338,0.2183302342891693,0.21833069622516632
0.55,0.0,2.18418550491333,0.21841855347156525,0.21841874718666077
0.55,0.3,2.03261399269104,0.20326140522956848,0.20918743312358856
0.55,0.3,2.032074213027954,0.20320741832256317,0.20919354259967804
0.55,0.3,2.0330779552459717,0.20330779254436493,0.20922479033470154
0.55,0.3,2.03249454498291,0.20324945449829102,0.20919987559318542
0.55,0.45,1.866848349571228,0.18668483197689056,0.19780439138412476
0.55,0.45,1.8664263486862183,0.1866426318883896,0.1977965533733368
0.55,0.45,1.8669757843017578,0.1866975724697113,0.19778180122375488
0.55,0.45,1.8663359880447388,0.18663360178470612,0.19778236746788025
0.55,0.5236,1.7436736822128296,0.17436736822128296,0.19198384881019592
0.55,0.5236,1.7478588819503784,0.17478588223457336,0.1921323984861374
0.55,0.5236,1.7444700002670288,0.17444700002670288,0.19204191863536835
0.55,0.5236,1.744860291481018,0.17448602616786957,0.19205540418624878
0.8,0.0,3.1767706871032715,0.3176770806312561,0.31767743825912476
0.8,0.0,3.1766371726989746,0.3176637291908264,0.31766369938850403
0.8,0.0,3.1769089698791504,0.317690908908844,0.31769105792045593
0.8,0.0,3.1763744354248047,0.31763744354248047,0.3176376223564148
0.8,0.3,2.966867208480835,0.29668670892715454,0.30450761318206787
0.8,0.3,2.9674203395843506,0.2967420220375061,0.30451706051826477
0.8,0.3,2.9681077003479004,0.2968107759952545,0.3045044243335724
0.8,0.3,2.9684557914733887,0.29684558510780334,0.3045298159122467
0.8,0.45,2.7227680683135986,0.2722768187522888,0.28793269395828247
0.8,0.45,2.724210739135742,0.27242106199264526,0.2879348695278168
0.8,0.45,2.7249913215637207,0.272499144077301,0.2879616916179657
0.8,0.45,2.7236297130584717,0.27236297726631165,0.28794509172439575
0.8,0.5236,2.5544748306274414,0.25544747710227966,0.2782423794269562
0.8,0.5236,2.552539110183716,0.2552539110183716,0.2782471477985382
0.8,0.5236,2.555001974105835,0.2555001974105835,0.2782600224018097
0.8,0.5236,2.5547266006469727,0.25547266006469727,0.2782522439956665
