success,reason,path_type,curvature,path_length_m,abs_cross_track_m,endpoint_distance_m,terminal_speed_mps,termination_step
1,success,straight,0.0,3.9000000953674316,0.040625859051942825,0.056010980159044266,0.09901241213083267,718
1,success,s_curve,-0.3333333432674408,3.450000047683716,0.1507742702960968,0.19351887702941895,0.09795966744422913,718
1,success,left_arc,0.3333333432674408,3.549999952316284,0.12493417412042618,0.1472322642803192,0.0972810834646225,720
1,success,right_arc,-0.3333333432674408,3.8500001430511475,0.027774494141340256,0.03559817001223564,0.09479755163192749,724
1,success,s_curve,-0.3333333432674408,3.4000000953674316,0.12885954976081848,0.1795116662979126,0.09532728791236877,726
1,success,left_arc,0.3333333432674408,3.950000047683716,0.09173370897769928,0.10029301047325134,0.0952906608581543,734
1,success,straight,0.0,4.099999904632568,0.03128071129322052,0.0778658539056778,0.09981422871351242,735
1,success,right_arc,-0.20000000298023224,4.0,0.00955088622868061,0.042377106845378876,0.09995684027671814,737
1,success,s_curve,-0.25,3.5,0.17110924422740936,0.19937561452388763,0.036051683127880096,739
1,success,s_curve,0.5,4.650000095367432,0.17742900550365448,0.19981887936592102,0.03285636007785797,745
1,success,s_curve,0.20000000298023224,3.799999952316284,0.12768082320690155,0.19931939244270325,0.08860766142606735,746
1,success,s_curve,-0.20000000298023224,3.700000047683716,0.15389926731586456,0.19910243153572083,0.06953717768192291,752
1,success,s_curve,-0.20000000298023224,3.9000000953674316,0.11550050973892212,0.19911329448223114,0.09898574650287628,758
1,success,s_curve,0.5,7.400000095367432,0.13497644662857056,0.1844436526298523,0.09720689058303833,759
1,success,straight,0.0,4.200000286102295,0.06596126407384872,0.07729754596948624,0.09379253536462784,767
1,success,right_arc,-0.20000000298023224,4.200000286102295,0.021218322217464447,0.047426123172044754,0.09777308255434036,775
1,success,right_arc,-0.4000000059604645,5.0,0.05435136705636978,0.18930454552173615,0.09990853816270828,776
1,success,right_arc,-0.20000000298023224,4.349999904632568,0.11608533561229706,0.12433042377233505,0.09980501979589462,777
1,success,s_curve,-0.3333333432674408,3.75,0.06234307214617729,0.15959219634532928,0.09992319345474243,780
1,success,s_curve,0.5,5.300000190734863,0.03271190822124481,0.17811863124370575,0.07221691310405731,781
1,success,s_curve,0.20000000298023224,3.799999952316284,0.11270514130592346,0.17850624024868011,0.09934177994728088,783
1,success,right_arc,-0.3333333432674408,4.25,0.15407896041870117,0.15786172449588776,0.09965754300355911,786
1,success,left_arc,0.20000000298023224,4.349999904632568,0.1494704782962799,0.1561286449432373,0.09948258846998215,787
1,success,s_curve,0.3333333432674408,3.450000047683716,0.010936171747744083,0.12306428700685501,0.09873050451278687,787
1,success,straight,0.0,4.349999904632568,0.06622540205717087,0.08116910606622696,0.09892474114894867,788
1,success,s_curve,-0.25,3.75,0.15332970023155212,0.19894909858703613,0.07561187446117401,790
1,success,straight,0.0,4.349999904632568,0.08655606210231781,0.09450425207614899,0.0921802744269371,791
1,success,s_curve,-0.20000000298023224,3.950000047683716,0.10256661474704742,0.18678036332130432,0.09823675453662872,795
1,success,right_arc,-0.20000000298023224,4.349999904632568,0.06977744400501251,0.08006571233272552,0.09783987700939178,797
1,success,s_curve,-0.25,3.950000047683716,0.012035760097205639,0.17479266226291656,0.05799097195267677,797
1,success,right_arc,-0.20000000298023224,4.400000095367432,0.05556260049343109,0.0627550333738327,0.09795784205198288,799
1,success,straight,0.0,4.400000095367432,0.057069726288318634,0.07156490534543991,0.0997113361954689,800
1,success,straight,0.0,4.450000286102295,0.045496437698602676,0.06844523549079895,0.09876735508441925,804
1,success,s_curve,0.25,4.050000190734863,0.12254130840301514,0.1992224156856537,0.0903857871890068,807
1,success,straight,0.0,4.450000286102295,0.12028241157531738,0.12660014629364014,0.09696511924266815,809
1,success,s_curve,0.20000000298023224,4.0,0.1267276257276535,0.1994210034608841,0.06809340417385101,812
