drive,stop_distance,k_cross,k_heading,success,reason,cross_track_m,endpoint_distance_m,terminal_speed_mps,steps
0.65,1.2,0.6,1.5,0,2,1.5048294067382812,1.7495641708374023,0.6876111030578613,602
0.5,0.8,1.2,1.5,1,0,0.040844209492206573,0.09110437333583832,0.09605877101421356,603
0.5,1.6,0.6,0.8,1,0,0.012189534492790699,0.1474195271730423,0.09813749045133591,603
0.5,1.6,1.2,0.8,1,0,0.11476590484380722,0.19398058950901031,0.09781765937805176,603
0.65,0.8,0.6,1.5,0,2,1.5004088878631592,1.563961386680603,0.7117305397987366,603
0.65,0.8,1.2,0.8,0,2,1.5028533935546875,1.5031859874725342,0.7077093720436096,603
0.65,1.2,1.2,0.8,0,2,1.511681079864502,2.3378589153289795,0.7311677932739258,603
0.5,1.6,0.6,0.8,1,0,0.19812875986099243,0.19990895688533783,0.08928635716438293,604
0.65,1.2,0.6,1.5,0,2,1.5102143287658691,1.740545630455017,0.6850519776344299,604
0.65,1.2,1.2,0.8,0,2,1.5069035291671753,1.5094366073608398,0.6921124458312988,604
0.65,1.2,1.2,1.5,0,2,1.5089911222457886,2.0120887756347656,0.7323198318481445,604
0.5,1.2,1.2,0.8,1,0,0.17670977115631104,0.1973891705274582,0.09621667861938477,607
0.5,1.2,1.2,1.5,1,0,0.1282823234796524,0.18340182304382324,0.09525425732135773,607
0.5,1.6,0.6,1.5,1,0,0.1973518431186676,0.19942481815814972,0.08158661425113678,607
0.5,1.6,1.2,0.8,1,0,0.06966476142406464,0.19967693090438843,0.09680833667516708,607
0.5,1.6,1.2,0.8,1,0,0.14539389312267303,0.1996476799249649,0.08276699483394623,607
0.5,1.6,1.2,0.8,1,0,0.07805483788251877,0.19962042570114136,0.08420982956886292,608
0.65,1.2,0.6,0.8,0,2,1.5078126192092896,2.438730478286743,0.7325187921524048,608
0.5,1.2,1.2,1.5,1,0,0.1388392448425293,0.17108647525310516,0.09905683249235153,609
0.65,0.8,0.6,0.8,0,2,1.507353663444519,1.627372145652771,0.7416343092918396,609
0.65,0.8,1.2,1.5,0,2,1.5021779537200928,1.5645095109939575,0.7010300755500793,609
0.65,1.2,1.2,1.5,0,2,1.5009703636169434,1.5764864683151245,0.6747921705245972,609
0.5,1.2,0.6,0.8,1,0,0.11034204810857773,0.1253598928451538,0.09933073073625565,610
0.65,0.8,0.6,0.8,0,2,1.509319543838501,1.6364250183105469,0.7335231900215149,612
0.65,1.2,1.2,1.5,0,2,1.5016100406646729,1.7721805572509766,0.7338802218437195,612
0.65,1.2,1.2,1.5,0,2,1.5043268203735352,1.5423310995101929,0.6691682934761047,612
0.5,1.2,1.2,1.5,1,0,0.16984719038009644,0.1711692363023758,0.0942516177892685,614
0.65,1.2,0.6,0.8,0,2,1.505479335784912,1.740524411201477,0.6915123462677002,614
0.65,0.8,1.2,1.5,0,2,1.501550316810608,1.5800848007202148,0.701130747795105,618
0.5,1.2,1.2,0.8,1,0,0.12861381471157074,0.17823141813278198,0.09998791664838791,619
0.5,1.2,0.6,1.5,1,0,0.08677688986063004,0.18288323283195496,0.09994610399007797,620
0.5,1.6,0.6,0.8,1,0,0.08214018493890762,0.19053901731967926,0.09915978461503983,620
0.65,1.2,1.2,1.5,0,2,1.5064396858215332,1.5073513984680176,0.6771150827407837,621
0.5,1.6,0.6,0.8,1,0,0.04013056680560112,0.1447482407093048,0.09324052929878235,622
0.65,1.2,1.2,0.8,0,2,1.500483751296997,1.5999120473861694,0.7002278566360474,623
0.65,0.8,1.2,0.8,0,2,1.5004348754882812,1.5256834030151367,0.7253863215446472,624
0.65,0.8,1.2,1.5,0,2,1.5028489828109741,2.208041191101074,0.6997635364532471,624
0.65,1.2,1.2,1.5,0,2,1.5107238292694092,1.514597773551941,0.6810058951377869,625
0.65,1.2,1.2,1.5,0,2,1.5027265548706055,1.5030028820037842,0.6794793605804443,627
0.65,0.8,0.6,1.5,0,2,1.5017671585083008,1.5838582515716553,0.7124140858650208,630
0.65,0.8,1.2,0.8,0,2,1.500726580619812,1.512965440750122,0.7340710163116455,631
0.65,0.8,0.6,1.5,0,2,1.5135455131530762,1.5961905717849731,0.7129843235015869,632
0.65,1.2,1.2,1.5,0,2,1.5026988983154297,1.502824306488037,0.6811928153038025,633
0.65,0.8,0.6,1.5,0,2,1.5003989934921265,1.8376086950302124,0.7085323929786682,634
0.65,1.2,0.6,0.8,0,2,1.5094482898712158,1.570759892463684,0.7056716680526733,634
0.65,1.2,1.2,1.5,0,2,1.502244234085083,1.5023425817489624,0.6797685623168945,634
0.65,1.6,1.2,1.5,0,2,1.5038378238677979,1.504347324371338,0.5732147097587585,634
0.65,1.6,1.2,1.5,0,2,1.510725736618042,1.511228322982788,0.5735574960708618,637
0.65,1.2,0.6,0.8,0,2,1.505120873451233,1.5177292823791504,0.683808445930481,642
0.5,1.2,1.2,1.5,1,0,0.09506166726350784,0.1903715431690216,0.0986267626285553,644
0.5,0.8,1.2,1.5,1,0,0.13644985854625702,0.13820095360279083,0.09881007671356201,645
0.5,1.6,1.2,1.5,1,0,0.14459937810897827,0.1983312964439392,0.09604773670434952,645
0.5,1.2,1.2,1.5,1,0,0.09588748216629028,0.18979187309741974,0.09308984875679016,646
0.5,1.2,1.2,1.5,1,0,0.06679101288318634,0.16680549085140228,0.09405062347650528,646
0.65,1.2,1.2,0.8,0,2,1.5087664127349854,1.5899580717086792,0.6822612881660461,650
0.5,1.2,0.6,1.5,1,0,0.1713271588087082,0.1993025243282318,0.0981873869895935,651
0.65,0.8,0.6,1.5,0,2,1.5039353370666504,2.2459962368011475,0.7143369317054749,654
0.65,1.6,1.2,1.5,0,2,1.5102040767669678,1.5272079706192017,0.5803167223930359,654
0.65,1.2,0.6,0.8,0,2,1.5086054801940918,1.5086544752120972,0.6856256127357483,657
0.65,0.8,1.2,0.8,0,2,1.501997947692871,1.6224040985107422,0.704913318157196,659
0.65,1.2,0.6,1.5,0,2,1.5075973272323608,1.5075998306274414,0.7012952566146851,659
0.5,1.6,0.6,1.5,1,0,0.16232889890670776,0.19766241312026978,0.09922710806131363,660
0.65,1.6,1.2,0.8,0,2,1.5077327489852905,1.746654748916626,0.6491019129753113,660
0.5,1.6,0.6,1.5,1,0,0.05842277407646179,0.18245460093021393,0.06488057971000671,661
0.65,1.2,0.6,0.8,0,2,1.5014142990112305,1.5024008750915527,0.6903950572013855,661
0.65,1.6,1.2,1.5,0,2,1.5083465576171875,1.5395183563232422,0.5856660604476929,661
0.65,1.6,1.2,1.5,0,2,1.5006818771362305,1.5537042617797852,0.5866624712944031,667
0.65,0.8,0.6,1.5,0,2,1.5133763551712036,1.592346429824829,0.7099322080612183,669
0.65,0.8,0.6,1.5,0,2,1.500976324081421,1.5995301008224487,0.7049906253814697,671
0.5,1.6,1.2,1.5,1,0,0.17696864902973175,0.19975772500038147,0.07332482933998108,672
0.65,0.8,0.6,0.8,0,2,1.5072081089019775,1.527629017829895,0.7292659282684326,672
0.65,1.2,0.6,0.8,0,2,1.5022125244140625,1.5086209774017334,0.6903741359710693,672
